parType,ParasiteCorrectedBinomial,nOcc,nHosts,specificity,nOccurRange,areaKm,wosOct2015,wosFeb2015,status,maxAllHostRS,maxOneHostRS,phylodivNew,maxphyloNew,Zoonotic,HumanEmerging,Domesticated,close,sexual,vertical,closenonsexual,nonclose,environmental,soil,water,feces,vector,intermediate,no. traits,trait flag,REF - AG 2017,REF type,doi,Notes (Alyssa Gehman)
Helminth,Oxyuris karamoja,2,4,G,NA,NA,,1,ung,12092626.34,6697308.45,30.6,30.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 237",Textbook,,"Genus level life cycle, text suggests that is acceptable"
Helminth,Paracooperia devossi,2,15,G,NA,NA,,0,ung,18149316.16,12063886.71,34,34,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 86",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Paracooperia horaki,1,10,G,NA,NA,,1,ung,197904.4524,197904.4524,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 86",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Paracooperia serrata,3,10,G,NA,NA,,0,ung,7763869.081,4047879.178,65.4,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 86",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Paracooperioides peleae,2,3,G,NA,NA,,2,ung,1601938.981,1044828.577,39.4,39.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 86",Textbook,,"super family level life cycle, text suggests that is acceptable"
Helminth,Paramphistomum cervi,5,8,G,NA,NA,,72,tsp,33491728.41,15261022.82,112.6,53.4,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 695",Textbook,,family level life cycle - suggest acceptable in yamaguti
Helminth,Paramphistomum cotylophorum,1,1,S,NA,NA,,0,tsp,3485542.674,3485542.674,NA,NA,,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 695",Textbook,,family level life cycle - suggest acceptable in yamaguti
Helminth,Paramphistomum epiclitum,1,1,S,NA,NA,,46,ung,1370059.961,1370059.961,NA,NA,,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 695",Textbook,,family level life cycle - suggest acceptable in yamaguti
Helminth,Paramphistomum liorchis,2,5,G,NA,NA,,5,tsp,21977023.59,14410477.61,35.4,35.4,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 695",Textbook,,family level life cycle - suggest acceptable in yamaguti
Virus,Rhadinovirus Alcelaphine herpesvirus 1,13,35,G,35,37601686.46,,0,tsp,76715124.5,15261022.82,223.2,53.6,0,,,1,0,1,1,1,1,0,1,0,0,0,6,no,"Li H, Cunha CW, Taus NS. Malignant Catarrhal Fever: Understanding Molecular Diagnostics in Context of Epidemiology.ÊInternational Journal of Molecular Sciences. 2011;12(10):6881-6893. doi:10.3390/ijms12106881.",Article,10.3390/ijms12106881,Malignant Catarrhal Fever
Virus,Rhadinovirus Bovine herpesvirus 4,8,15,G,NA,NA,,0,tsp,42602975.89,15261022.82,140.3,53.4,0,,,1,1,0,1,0,0,0,0,0,0,0,3,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 250",Textbook,,
Virus,Rotavirus Rotavirus C,1,1,S,NA,NA,,0,ung,28012634.55,28012634.55,NA,NA,1,,,0,0,0,0,1,1,0,1,1,0,0,4,no,"Hurst, CJ. Viral Ecology. 2000",Textbook,,
Helminth,Schistosoma hippopotami,1,2,G,NA,NA,,4,ung,1882099.289,1882099.289,NA,NA,0,,,0,0,0,0,1,1,0,0,0,0,1,3,no,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 689",Textbook,,
Virus,Simplexvirus Bovine herpesvirus 2,16,31,G,28,16571588.78,,0,tsp,71602189.92,15261022.82,458.2,170.6,0,,,1,1,0,1,0,0,0,0,0,0,0,3,yes,couldn't find good reference,,,
Helminth,Skrjabinagia arctica,1,9,G,NA,NA,,0,ung,18168072.93,18168072.93,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Lichtenfels, J. Ralph, P. A. Pilitt, and M. Fruetel. ""Cuticular ridge pattern in Ostertagia gruehneri and Ostertagia arctica (Nematoda: Trichostrongyloidea) from caribou, Rangifer tarandus."" (1990).",Article,,Synonym with Osteragia arctica
Helminth,Skrjabinema alata,NA,NA,G,NA,NA,,0,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 238",Textbook,,Genus level life cycle
Helminth,Skrjabinema kolchida,1,8,G,NA,NA,,0,ung,7256885.952,7256885.952,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 238",Textbook,,Genus level life cycle
Helminth,Skrjabinema ovis,4,5,G,NA,NA,,12,ung,2300782.861,1098768.748,75.5,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 238",Textbook,,Genus level life cycle
Helminth,Skrjabinema parva,2,3,G,NA,NA,,1,ung,6588000.067,6307636.164,53.4,53.4,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 238",Textbook,,Genus level life cycle
Helminth,Skrjabinema rupicaprae,1,2,G,NA,NA,,0,ung,280363.9032,280363.9032,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 238",Textbook,,Genus level life cycle
Helminth,Spiculopteragia asymmetrica,4,29,G,25,61715489.59,60,11,ung,26542901.85,15261022.82,83.9,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Youssefi MR, Hoseini SH, Mobedi I, Hosseini SM, Ekrami B.ÊSpiculopteragia asymmetricaÊinfection inÊCervus elaphusÊfrom Iran.ÊVeterinary Research Forum_: an International Quarterly Journal. 2014;5(1):77-79.",Article,,
Helminth,Spiculopteragia boehmi,4,13,G,NA,NA,,6,ung,26542901.85,15261022.82,83.9,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 81",Textbook,,Super family level life cycle
Helminth,Spiculopteragia dagestanica,1,1,S,NA,NA,,0,ung,15261022.82,15261022.82,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 82",Textbook,,Super family level life cycle
Helminth,Spiculopteragia houdemeri,1,5,G,NA,NA,,3,ung,350917.715,350917.715,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 83",Textbook,,Super family level life cycle
Helminth,Spiculopteragia mathevossiani,7,25,G,25,808951.7962,34,3,ung,30582366.03,15261022.82,139.1,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 84",Textbook,,Super family level life cycle
Helminth,Spiculopteragia odocoilei,1,4,G,NA,NA,,1,ung,14410477.61,14410477.61,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 85",Textbook,,Super family level life cycle
Helminth,Spiculopteragia pursglovei,1,4,G,NA,NA,,1,ung,14410477.61,14410477.61,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 86",Textbook,,Super family level life cycle
Helminth,Spiculopteragia spiculoptera,5,24,G,24,15323405.59,38,14,tsp,26557372.95,15261022.82,99.8,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 81",Textbook,,Super family level life cycle
Bacteria,Staphylococcus hyicus,2,2,G,NA,NA,,314,tsp,9597832.131,9582710.449,53,53,1,1,,1,0,1,1,0,0,0,0,0,0,0,3,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 177",Textbook,,
Bacteria,Streptococcus mutans,1,1,S,NA,NA,,8129,ung,538053.3024,538053.3024,NA,NA,1,,,1,1,1,0,0,0,0,0,0,0,0,3,no,"Matsui R, Cvitkovitch D. Acid tolerance mechanisms utilized byÊStreptococcus mutans.ÊFuture microbiology. 2010;5(3):403-417. doi:10.2217/fmb.09.129.",Article,10.2217/fmb.09.129,
Helminth,Strongylus asini,4,6,G,NA,NA,,3,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 63",Textbook,,Genus level life cycle
Helminth,Strongylus edentatus,4,6,G,NA,NA,,50,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 63",Textbook,,
Helminth,Strongylus equinus,4,5,G,NA,NA,,14,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 63",Textbook,,
Helminth,Strongylus vulgaris,4,6,G,NA,NA,,188,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 64",Textbook,,
Helminth,Taenia crocutae,1,1,S,NA,NA,,1,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp309,Textbook,,subclass level life cycle 
Helminth,Taenia hyaenae,1,1,S,NA,NA,,0,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp310,Textbook,,subclass level life cycle 
Helminth,Taenia hydatigena,15,62,G,45,61327608.44,878,291,tsp,129126115,28012634.55,343.8,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp311,Textbook,,subclass level life cycle 
Helminth,Taenia kotlani,NA,NA,G,NA,NA,,0,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp312,Textbook,,subclass level life cycle 
Helminth,Taenia multiceps,1,3,G,NA,NA,,99,tsp,15121.68173,15121.68173,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp313,Textbook,,subclass level life cycle 
Helminth,Taenia omissa,4,15,G,NA,NA,,4,ung,43942878.36,15261022.82,55.3,35.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp314,Textbook,,subclass level life cycle 
Helminth,Taenia ovis,2,3,G,NA,NA,,160,tsp,22517908.77,15261022.82,35.4,35.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp315,Textbook,,subclass level life cycle 
Helminth,Taenia regis,3,5,G,NA,NA,,3,ung,9780430.338,5901364.296,153,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp316,Textbook,,subclass level life cycle 
Helminth,Taenia solium,2,2,G,NA,NA,,1563,tsp,46180707.48,28012634.55,131.2,131.2,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. Pp317,Textbook,,subclass level life cycle 
Helminth,Tapironema coronatum,1,1,S,NA,NA,,1,ung,11289574.9,11289574.9,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 81",Textbook,,superfamily level life cycle
Helminth,Teladorsagia boreoarcticus,2,3,G,NA,NA,,3,ung,19851176.13,18168072.93,53.4,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 98",Textbook,,genus level life cycle
Helminth,Teladorsagia circumcincta,17,78,G,53,28355082.34,886,629,tsp,81223554.55,18168072.93,269.6,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 99",Textbook,,genus level life cycle
Helminth,Teladorsagia davtiani,3,11,G,NA,NA,,8,ung,25705322.79,18168072.93,69.5,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 100",Textbook,,genus level life cycle
Helminth,Teladorsagia hamata,2,2,G,NA,NA,,2,ung,2105848.212,1950024.369,20,20,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 101",Textbook,,genus level life cycle
Helminth,Teladorsagia pinnata,5,8,G,NA,NA,,0,ung,26557372.95,15261022.82,99.8,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 102",Textbook,,genus level life cycle
Bacteria,Treponema denticola,NA,NA,G,NA,NA,,1217,NA,NA,NA,NA,NA,,,,1,0,1,1,0,0,0,0,0,0,0,3,no,"Watson, Bretz and Loesche. Journal of Dental Research. 1994",Article,,
Helminth,Trichinella britovi,1,1,S,NA,NA,,138,ung,28012634.55,28012634.55,NA,NA,1,,,0,0,0,0,1,0,0,0,1,0,0,2,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 619",Textbook,,Transmission through consumption of meat - no environmental stage.
Helminth,Trichinella murrelli,1,1,S,NA,NA,,26,ung,28012634.55,28012634.55,NA,NA,1,,,0,0,0,0,1,0,0,0,1,0,0,2,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 620",Textbook,,Transmission through consumption of meat - no environmental stage.
Helminth,Trichinella nativa,1,2,G,NA,NA,,103,tsp,28012634.55,28012634.55,NA,NA,1,,,0,0,0,0,1,0,0,0,1,0,0,2,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 621",Textbook,,Transmission through consumption of meat - no environmental stage.
Helminth,Trichinella papuae,1,1,S,NA,NA,,37,ung,28012634.55,28012634.55,NA,NA,0,,,0,0,0,0,1,0,0,0,1,0,0,2,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 622",Textbook,,Transmission through consumption of meat - no environmental stage.
Helminth,Trichinella pseudospiralis,1,2,G,NA,NA,,202,tsp,28012634.55,28012634.55,NA,NA,1,,,0,0,0,0,1,0,0,0,1,0,0,2,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 623",Textbook,,Transmission through consumption of meat - no environmental stage.
Helminth,Trichinella spiralis,1,8,G,NA,NA,,3264,tsp,28012634.55,28012634.55,NA,NA,1,1,,0,0,0,0,1,0,0,0,1,0,0,2,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 624",Textbook,,Transmission through consumption of meat - no environmental stage.
Helminth,Trichinella T6,NA,NA,G,NA,NA,,21,NA,NA,NA,NA,NA,,,,0,0,0,0,1,0,0,0,1,0,0,2,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 625",Textbook,,Transmission through consumption of meat - no environmental stage.
Helminth,Trichostrongylus angistris,3,9,G,NA,NA,,2,ung,11110681.93,6372957.442,55.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 99",Textbook,,Genus level life cycle
Helminth,Trichostrongylus anomalus,3,9,G,NA,NA,,3,ung,8987779.398,6372957.442,55.6,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 100",Textbook,,Genus level life cycle
Helminth,Trichostrongylus askivali,2,10,G,NA,NA,,5,ung,21977023.59,14410477.61,35.4,35.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 101",Textbook,,Genus level life cycle
Helminth,Trichostrongylus auriculatus,3,3,G,NA,NA,,1,ung,12670050.49,6856205.773,61.7,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 102",Textbook,,Genus level life cycle
Helminth,Trichostrongylus axei,21,70,G,62,40424963.06,1028,253,tsp,127990465.4,28012634.55,433.8,131.2,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 103",Textbook,,Genus level life cycle
Helminth,Trichostrongylus capreoli,NA,NA,G,NA,NA,,1,NA,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 104",Textbook,,Genus level life cycle
Helminth,Trichostrongylus capricola,8,29,G,29,8394775.704,64,6,tsp,27868547.16,15261022.82,155.2,53.4,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 105",Textbook,,Genus level life cycle
Helminth,Trichostrongylus colubriformis,15,41,G,39,14833839.3,5570,1595,tsp,63878000.77,15261022.82,270.9,53.4,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 106",Textbook,,Genus level life cycle
Helminth,Trichostrongylus deflexus,9,24,G,23,545059.4264,14,6,ung,16858609.59,6085429.445,283.7,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 107",Textbook,,Genus level life cycle
Helminth,Trichostrongylus dosteri,1,4,G,NA,NA,,1,ung,14410477.61,14410477.61,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 108",Textbook,,Genus level life cycle
Helminth,Trichostrongylus falculatus,19,61,G,57,1761961.886,49,8,tsp,76564104.83,13575937.13,426.3,131.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 109",Textbook,,Genus level life cycle
Helminth,Trichostrongylus instabilis,8,10,G,NA,NA,,0,ung,49366322.83,13575937.13,261.9,131.2,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 110",Textbook,,Genus level life cycle
Helminth,Trichostrongylus minor,1,3,G,NA,NA,,1,ung,1950024.369,1950024.369,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 111",Textbook,,Genus level life cycle
Helminth,Trichostrongylus pietersei,3,3,G,NA,NA,,0,ung,2351672.975,1765965.534,61.7,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 112",Textbook,,Genus level life cycle
Helminth,Trichostrongylus probolurus,2,2,G,NA,NA,,6,tsp,447216.1917,291392.3488,12.2,12.2,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 113",Textbook,,Genus level life cycle
Helminth,Trichostrongylus qinghaiensis,NA,NA,G,NA,NA,,0,ung,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 114",Textbook,,Genus level life cycle
Helminth,Trichostrongylus rugatus,5,7,G,NA,NA,,15,tsp,9281740.821,6372957.442,105.3,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 115",Textbook,,Genus level life cycle
Helminth,Trichostrongylus thomasi,13,30,G,28,1499363.004,6,1,ung,34791726.31,13575937.13,373.6,170.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 116",Textbook,,Genus level life cycle
Helminth,Trichostrongylus vitrinus,7,21,G,21,3984679.14,313,114,tsp,27862832.14,15261022.82,128.7,53.4,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 117",Textbook,,Genus level life cycle
Helminth,Trichuris capreoli,1,1,S,NA,NA,,1,ung,7256885.952,7256885.952,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 606",Textbook,,Genus level life cycle
Helminth,Trichuris cervicaprae,NA,NA,G,NA,NA,,1,ung,NA,NA,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 606",Textbook,,Genus level life cycle
Helminth,Trichuris discolor,3,7,G,NA,NA,,26,tsp,28681855.54,14410477.61,36,32.2,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 606",Textbook,,Genus level life cycle
Helminth,Trichuris globulosa,3,4,G,NA,NA,,28,tsp,4057298.926,3485542.674,65.4,43.6,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 606",Textbook,,Genus level life cycle
Helminth,Trichuris ovis,8,17,G,NA,NA,,69,tsp,45226599.42,15261022.82,160.6,53.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 606",Textbook,,Genus level life cycle
Helminth,Trichuris skrjabini,1,1,S,NA,NA,,13,tsp,280363.9032,280363.9032,NA,NA,,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 606",Textbook,,Genus level life cycle
Helminth,Trichuris suis,2,5,G,NA,NA,,382,tsp,30373717.95,28012634.55,131.2,131.2,1,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 606",Textbook,,Genus level life cycle
Helminth,Triodontophorus burchelli,4,5,G,NA,NA,,1,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 65",Textbook,,Genus level life cycle
Helminth,Triodontophorus hartmannae,4,6,G,NA,NA,,1,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66",Textbook,,Genus level life cycle
Helminth,Triodontophorus nipponicus,4,5,G,NA,NA,,0,ung,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 67",Textbook,,Genus level life cycle
Helminth,Triodontophorus serratus,4,5,G,NA,NA,,7,tsp,2517225.205,2310772.898,28,24.4,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 68",Textbook,,Genus level life cycle
Virus,Varicellovirus Bovine herpesvirus 1,38,206,G,193,70892881.21,,1,tsp,181969291.4,18168072.93,849.6,170.6,0,,,1,1,0,1,0,0,0,0,0,0,0,3,no,"Muylkens, Beno”t, et al. ""Bovine herpesvirus 1 infection and infectious bovine rhinotracheitis."" Veterinary research 38.2 (2007): 181-209.",Article,,
Virus,Varicellovirus Caprine herpesvirus 1,7,27,G,21,574320.2575,,0,tsp,30437165.48,15261022.82,132.8,53.4,0,,,1,1,0,1,0,0,0,0,0,0,0,3,no,"Tempesta et al. Jurnal of Veterinary Medicine, Series B. 2000",Article,10.1046/j.1439-0450.2000.00334.x,
Virus,Varicellovirus Cervid herpesvirus 1,7,30,G,24,1062483.897,,0,ung,30437165.48,15261022.82,132.8,53.4,0,,,1,1,0,1,0,0,0,0,0,0,0,3,no,"das Neves, Carlos G., et al. ""Cervid herpesvirus 2 infection in reindeer: a review.""ÊVeterinary microbiologyÊ143.1 (2010): 70-80.",Article,10.1016/j.vetmic.2010.02.015,
Virus,Varicellovirus Cervid herpesvirus 2,6,14,G,NA,NA,,0,ung,44565337.66,18168072.93,115.9,53.4,,,,1,1,1,1,0,0,0,0,0,0,0,4,no,"das Neves, Carlos G., et al. ""Cervid herpesvirus 2 infection in reindeer: a review.""ÊVeterinary microbiologyÊ143.1 (2010): 70-80.",Article,10.1016/j.vetmic.2010.02.015,
Virus,Vesiculovirus Vesicular stomatitis virus,1,16,G,NA,NA,,3,tsp,28012634.55,28012634.55,NA,NA,,,,1,0,0,1,0,0,0,0,0,1,0,3,no,"Hastie E, Cataldi M, Marriott I, Grdzelishvili VZ. Understanding and altering cell tropism of vesicular stomatitis virus.ÊVirus research. 2013;176(0):10.1016/j.virusres.2013.06.003. doi:10.1016/j.virusres.2013.06.003.",Article,10.1016/j.virusres.2013.06.003,
